Input File: 02TFD.78D
Measure Group: Swept Sine
Measurement: Freq. Resp.
Num of extracted Points: 200
Start Freq.: 100 kHz
Stop  Freq.: 10 Hz
Sweep Type: Log
Auto Level: Off
Amplitude: 200.0 mV
Source Ramping: Off
Source Offset:   0.0 mV
Settle Time:   7.8125 ms
Settle Cycles:    1
Integration Time:   15.625 ms
Integration Cycles:   10

    X[Hz]          P[deg]     
  1.431459e+04  -1.717366e+02 
  1.499268e+04  -1.784234e+02 
  1.570290e+04   1.780857e+02 
  1.644676e+04   1.763132e+02 
  1.722586e+04   1.733664e+02 
  1.804186e+04   1.677985e+02 
  1.889652e+04   1.640989e+02 
  1.979167e+04   1.619275e+02 
  2.072922e+04   1.584598e+02 
  2.171118e+04   1.490961e+02 
  2.273966e+04   1.493914e+02 
  2.381686e+04   1.491442e+02 
  2.494508e+04   1.422608e+02 
  2.612675e+04   1.395094e+02 
  2.736440e+04   1.375587e+02 
  2.866068e+04   1.366724e+02 
  3.001836e+04   1.234460e+02 
  3.144036e+04   1.192214e+02 
  3.292971e+04   1.162305e+02 
  3.448962e+04   1.098262e+02 
  3.612343e+04   1.051201e+02 
  3.783462e+04   1.038923e+02 
  3.962689e+04   9.767204e+01 
  4.150405e+04   9.333363e+01 
  4.347013e+04   9.165591e+01 
  4.552935e+04   8.525897e+01 
  4.768612e+04   7.989362e+01 
  4.994505e+04   6.892831e+01 
  5.231099e+04   6.463325e+01 
  5.478901e+04   5.515041e+01 
  5.738442e+04   4.836369e+01 
  6.010277e+04   4.446935e+01 
  6.294989e+04   3.615492e+01 
  6.593188e+04   3.042235e+01 
  6.905513e+04   2.021163e+01 
  7.232634e+04   6.675466e+00 
  7.575250e+04  -4.848863e+00 
  7.934097e+04  -6.578532e+00 
  8.309942e+04  -2.713301e+01 
  8.703591e+04  -4.165800e+01 
  9.115888e+04  -4.738345e+01 
  9.547716e+04  -7.279367e+01 
  1.000000e+05  -8.991880e+01 
